,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,,
367,Renato Sanches,MF,pt Portugal,23,1997,2.4,194,189,5,5,1,26,6,4,0,0,0,0,168,7,19,27,164,2,0,0,178,0,0,3,5,,
368,Jadon Sancho,FW,eng England,20,2000,1.1,49,47,2,0,0,10,1,1,0,0,0,0,39,7,3,9,35,2,2,0,45,0,0,2,0,,
369,Leroy Sané,FWDF,de Germany,25,1996,1.3,64,62,2,0,0,8,1,6,1,1,0,0,51,5,8,50,11,1,1,0,52,0,3,1,4,,
370,Pablo Sarabia,FW,es Spain,28,1992,2.8,152,137,15,6,0,15,2,14,7,2,2,0,106,17,29,125,23,0,2,1,116,0,0,10,3,,
371,Ľubomír Šatka,DF,sk Slovakia,25,1995,3,189,185,4,3,0,15,3,0,0,0,0,0,168,7,14,40,141,2,1,1,180,0,0,1,0,,
372,András Schäfer,MF,hu Hungary,21,1999,2.5,68,65,3,2,0,15,0,0,0,0,0,0,54,8,6,9,51,5,1,0,60,0,0,2,1,,
373,Fabian Schär,DFMF,ch Switzerland,29,1991,2.1,128,123,5,2,0,18,8,0,0,0,0,0,94,5,29,19,101,5,3,0,111,1,2,1,2,,
374,Louis Schaub,MF,at Austria,26,1994,0.2,6,5,1,0,0,1,0,0,1,1,0,0,4,1,1,6,0,0,0,0,5,0,0,1,0,,
375,Patrik Schick,FW,cz Czech Republic,25,1996,4.4,100,91,9,0,0,33,1,0,0,0,0,0,63,24,13,66,13,7,1,4,72,1,2,10,5,,
376,Xaver Schlager,MF,at Austria,23,1997,4.1,156,153,3,3,0,40,2,0,0,0,0,0,118,12,26,95,52,8,0,0,127,1,6,3,6,,
377,Kasper Schmeichel,GK,dk Denmark,34,1986,6.3,157,112,45,12,0,4,15,0,0,0,0,0,45,6,106,2,120,0,0,18,106,0,3,3,1,,
378,Szabolcs Schön,FW,hu Hungary,20,2000,0.3,6,4,2,0,0,0,0,0,0,0,0,0,4,2,0,4,1,0,0,1,5,0,0,0,0,,
379,Alessandro Schöpf,FW,at Austria,26,1994,1,44,43,1,0,0,9,0,2,0,0,0,0,37,5,2,12,29,1,1,0,38,0,0,1,2,,
380,Rasmus Schüller,MF,fi Finland,29,1991,1.3,52,51,1,1,0,12,1,0,0,0,0,0,35,8,9,28,19,4,0,0,41,0,0,1,0,,
381,Haris Seferović,FW,ch Switzerland,28,1992,4.2,93,89,4,0,1,33,1,4,0,0,0,0,65,12,16,60,20,4,0,5,67,0,3,3,1,,
382,Nélson Semedo,DF,pt Portugal,27,1993,2.9,169,150,19,1,0,21,1,5,0,0,0,0,124,27,18,25,123,1,18,0,141,0,0,3,8,,
383,Andrei Semyonov,DF,ru Russia,31,1989,1,54,54,0,0,0,0,1,0,0,0,0,0,35,2,17,6,41,7,0,0,44,0,3,0,0,,
384,Petr Ševčík,FWMF,cz Czech Republic,26,1994,2.5,108,102,6,1,0,19,6,5,3,2,0,1,70,16,22,13,84,6,2,1,82,0,2,5,6,,
385,Mykola Shaparenko,MF,ua Ukraine,22,1998,3.6,224,216,8,4,0,40,8,4,3,1,1,0,188,15,21,25,192,4,1,1,202,1,4,3,2,,
386,Xherdan Shaqiri,MF,ch Switzerland,29,1991,4.1,166,137,29,5,0,31,16,8,17,13,3,0,107,15,44,127,37,1,0,0,120,1,3,7,2,,
387,Luke Shaw,DF,eng England,25,1995,6.4,398,328,70,15,2,49,7,19,5,0,5,0,267,71,60,319,16,6,50,0,329,0,4,15,14,,
388,Anton Shunin,GK,ru Russia,34,1987,1,28,22,6,0,0,0,0,0,0,0,0,0,7,0,21,23,3,0,0,2,16,0,0,1,0,,
389,Dávid Sigér,MF,hu Hungary,30,1990,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1,2,2,1,0,0,3,0,0,1,0,,
390,André Silva,FW,pt Portugal,25,1995,0.4,12,12,0,0,0,4,0,1,0,0,0,0,10,1,1,1,10,1,0,0,10,0,0,0,0,,
391,Bernardo Silva,FWMF,pt Portugal,26,1994,2.7,110,100,10,2,0,25,4,6,4,0,0,0,88,13,9,95,8,2,4,0,91,0,3,5,4,,
392,Rafa Silva,FWMF,pt Portugal,27,1993,0.6,33,33,0,0,1,3,0,0,0,0,0,0,31,2,0,1,32,0,0,0,29,0,0,1,3,,
393,Unai Simón,GK,es Spain,23,1997,7,225,191,34,8,0,15,9,0,0,0,0,0,180,9,36,27,162,0,1,35,208,0,3,0,0,,
394,Salvatore Sirigu,GK,it Italy,34,1987,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,
395,Moussa Sissoko,MF,fr France,31,1989,0.4,19,17,2,1,0,2,1,2,0,0,0,0,14,2,3,2,14,1,1,0,15,0,0,2,0,,
396,Andreas Skov Olsen,FWMF,dk Denmark,21,1999,0.4,19,19,0,0,0,5,0,1,0,0,0,0,16,0,3,11,7,1,0,0,17,0,0,0,0,,
397,Milan Škriniar,DF,sk Slovakia,25,1995,3,165,160,5,5,0,13,9,0,0,0,0,0,143,8,14,23,135,4,0,0,150,0,5,1,0,,
398,Eduard Sobol,MF,ua Ukraine,25,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
399,Aleksandr Sobolev,FW,ru Russia,23,1997,0.4,14,12,2,0,0,7,0,0,0,0,0,0,11,3,0,2,9,0,0,1,11,0,0,0,0,,
400,Pyry Soiri,DF,fi Finland,26,1994,0.2,12,12,0,0,0,3,0,0,0,0,0,0,12,0,0,2,10,0,0,0,11,0,0,0,1,,
401,Yann Sommer,GK,ch Switzerland,32,1988,5.7,177,113,64,11,0,13,5,0,0,0,0,0,94,9,74,19,129,1,0,18,137,0,2,0,0,,
402,Tomáš Souček,MF,cz Czech Republic,25,1995,5,219,210,9,8,0,51,11,1,0,0,0,0,150,25,44,36,159,10,1,4,175,1,5,12,5,,
403,Djibril Sow,MF,ch Switzerland,23,1997,0.5,14,13,1,1,0,4,0,1,0,0,0,0,11,2,1,3,11,0,0,0,7,0,0,1,2,,
404,Çağlar Söyüncü,DF,tr Turkey,24,1996,3,175,170,5,5,0,19,12,1,0,0,0,0,138,10,27,45,124,4,0,0,162,1,4,2,2,,
405,Tim Sparv,MF,fi Finland,33,1987,1.5,68,66,2,2,0,16,0,0,0,0,0,0,56,7,5,48,15,4,0,0,60,0,1,1,2,,
406,Leonardo Spinazzola,DF,it Italy,27,1993,4.2,216,180,36,3,0,35,3,9,0,0,0,0,142,44,30,59,117,5,33,2,187,0,1,8,8,,
407,Stefan Spirovski,MF,mk N. Macedonia,30,1990,0.5,13,12,1,1,0,3,0,0,0,0,0,0,11,2,0,1,12,0,0,0,11,0,0,1,1,,
408,Maarten Stekelenburg,GK,nl Netherlands,38,1982,4,141,110,31,5,0,3,2,0,0,0,0,0,60,8,73,6,117,0,0,14,94,1,4,0,1,,
409,Taras Stepanenko,MF,ua Ukraine,31,1989,2,98,97,1,1,0,10,0,0,0,0,0,0,78,9,11,69,23,3,0,2,79,1,2,0,3,,
410,Raheem Sterling,FWMF,eng England,26,1994,7.1,202,197,5,0,1,51,1,7,0,0,0,0,175,15,12,16,178,2,4,1,168,1,0,7,8,,
411,Vlatko Stojanovski,MFFW,mk N. Macedonia,23,1997,0.1,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,,
412,John Stones,DF,eng England,26,1994,7.5,469,463,6,6,0,43,9,0,0,0,0,0,417,21,31,61,390,10,0,0,444,0,5,4,2,,
413,Jens Stryger Larsen,DF,dk Denmark,29,1991,3.2,189,139,50,7,1,18,13,12,17,6,8,2,88,38,63,15,135,9,26,0,135,1,1,6,2,,
414,Niklas Süle,DFMF,de Germany,25,1995,0.2,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0,1,6,0,0,0,7,0,0,0,0,,
415,Tomáš Suslov,FW,sk Slovakia,18,2002,0.3,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,,
416,Gustav Svensson,MF,se Sweden,33,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
417,Karol Świderski,FWMF,pl Poland,24,1997,1.8,32,31,1,0,0,9,1,2,0,0,0,0,16,8,8,22,4,2,0,0,19,0,0,2,0,,
418,Jakub Świerczok,FW,pl Poland,28,1992,0.3,6,6,0,0,0,2,1,0,0,0,0,0,3,1,2,2,2,0,0,2,6,0,0,0,0,,
419,Serhiy Sydorchuk,MF,ua Ukraine,29,1991,4.1,191,190,1,1,0,28,3,1,0,0,0,0,168,8,15,13,176,1,0,1,166,0,3,3,8,,
420,Ádám Szalai,FW,hu Hungary,33,1987,2.2,31,31,0,0,1,8,1,0,0,0,0,0,17,6,8,7,19,3,0,1,18,0,1,5,5,,
421,Attila Szalai,DF,hu Hungary,23,1998,3,129,121,8,5,0,14,9,0,0,0,0,0,78,14,37,109,14,5,0,0,99,0,6,3,2,,
422,Wojciech Szczęsny,GK,pl Poland,30,1990,3,66,41,25,9,0,3,4,0,0,0,0,0,20,2,44,4,53,0,0,7,39,0,1,0,0,,
423,Marcus Thuram,MF,fr France,23,1997,0.1,3,3,0,0,0,0,0,2,0,0,0,0,2,1,0,2,1,0,0,0,2,0,0,0,0,,
424,Youri Tielemans,MF,be Belgium,23,1997,3.8,214,210,4,4,0,19,4,2,0,0,0,0,184,12,18,50,154,8,0,0,183,0,6,9,5,,
425,Kieran Tierney,DF,sct Scotland,23,1997,2,88,82,6,4,0,8,6,3,0,0,0,0,58,7,23,71,9,5,2,0,70,0,4,2,0,,
426,Jurrien Timber,DF,nl Netherlands,19,2001,1.6,109,104,5,2,0,7,1,0,0,0,0,0,95,8,6,12,93,0,3,0,103,0,1,2,1,,
427,Joona Toivio,DF,fi Finland,32,1988,2.9,112,103,9,4,0,10,2,1,0,0,0,0,76,9,27,25,80,2,4,0,90,0,2,2,1,,
428,Dorukhan Toköz,MF,tr Turkey,24,1996,0.1,4,3,1,1,0,1,0,0,0,0,0,0,3,1,0,0,4,0,0,0,3,0,0,1,0,,
429,Corentin Tolisso,FWMF,fr France,26,1994,0.9,61,59,2,2,0,6,3,0,0,0,0,0,51,4,6,6,53,0,0,2,59,0,1,0,0,,
430,Rafael Tolói,DF,it Italy,30,1990,1.8,94,76,18,2,0,10,0,2,0,0,0,0,63,22,9,2,73,2,16,0,78,0,4,2,2,,
431,Ferrán Torres,FW,es Spain,20,2000,4.1,151,150,1,0,0,31,3,13,0,0,0,0,115,19,17,7,139,2,1,1,118,1,4,4,4,,
432,Pau Torres,DF,es Spain,24,1997,4.2,432,416,16,15,1,24,14,0,0,0,0,0,375,20,37,331,82,11,1,0,407,0,2,10,0,,
433,Aleksandar Trajkovski,FW,mk N. Macedonia,28,1992,1.9,63,59,4,0,0,19,3,3,2,0,0,0,51,6,6,7,51,1,1,2,53,0,1,2,3,,
434,Adama Traoré,DFFW,es Spain,25,1996,0.2,16,15,1,0,0,3,2,2,0,0,0,0,13,1,2,0,15,0,1,0,14,0,0,0,1,,
435,Ivan Tričkovski,FWDF,mk N. Macedonia,33,1987,0.8,17,17,0,0,0,2,1,0,0,0,0,0,15,1,1,5,11,1,0,0,14,0,0,3,0,,
436,Christopher Trimmel,DF,at Austria,33,1987,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,,
437,Kieran Trippier,DF,eng England,30,1990,3.2,193,153,40,9,0,14,8,7,8,5,2,0,106,34,53,13,147,10,23,0,146,3,8,3,3,,
438,Leandro Trossard,DF,be Belgium,26,1994,0.8,55,46,9,1,0,10,3,2,0,0,0,0,35,15,5,6,41,0,8,0,47,0,1,1,2,,
439,Viktor Tsyhankov,FW,ua Ukraine,23,1997,1.6,76,73,3,1,0,14,1,3,0,0,0,0,66,5,5,61,11,1,2,0,58,1,1,5,3,,
440,Ozan Tufan,MF,tr Turkey,25,1995,1.9,80,80,0,0,0,20,1,0,0,0,0,0,65,10,5,5,70,1,0,1,73,0,0,4,0,,
441,Andreas Ulmer,DF,at Austria,35,1985,2,85,75,10,0,0,23,3,3,1,0,1,0,59,13,13,54,18,4,9,0,64,0,2,3,3,,
442,Cengiz Ünder,MF,tr Turkey,23,1997,2.3,71,66,5,0,0,20,10,6,5,0,5,0,42,10,19,47,22,1,0,1,55,0,0,4,3,,
443,Jere Uronen,DF,fi Finland,26,1994,2.8,103,93,10,0,0,24,2,5,0,0,0,0,75,13,15,77,13,3,10,0,82,0,4,1,2,,
444,Tomáš Vaclík,GK,cz Czech Republic,31,1989,5,152,112,40,12,0,15,2,0,0,0,0,0,61,2,89,13,107,0,0,20,89,0,3,3,1,,
445,Leo Väisänen,DF,fi Finland,23,1997,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,
446,Hans Vanaken,MF,be Belgium,28,1992,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,,
447,Raphaël Varane,DF,fr France,27,1993,4.3,278,270,8,7,0,9,6,0,0,0,0,0,235,17,26,136,130,8,1,1,261,0,6,1,1,,
448,Kevin Varga,FWDF,hu Hungary,24,1996,0.1,8,5,3,0,0,2,0,0,0,0,0,0,6,2,0,1,5,0,2,0,7,0,0,0,0,,
449,Roland Varga,MF,hu Hungary,31,1990,0,3,2,1,1,0,1,0,1,0,0,0,0,1,0,2,0,3,0,0,0,1,0,0,0,0,,
450,Ruben Vargas,FWMF,ch Switzerland,22,1998,1.9,59,55,4,0,0,9,0,2,2,1,1,0,42,6,11,6,48,4,1,0,45,0,0,1,1,,
451,Darko Velkovski,DF,mk N. Macedonia,25,1995,2.9,118,110,8,7,0,15,7,0,0,0,0,0,78,17,23,15,97,2,1,1,101,0,4,1,2,,
452,Joël Veltman,DF,nl Netherlands,29,1992,0,8,8,0,0,0,0,0,0,0,0,0,0,5,1,2,1,6,1,0,0,7,0,0,0,0,,
453,Thomas Vermaelen,DF,be Belgium,35,1985,3.2,181,176,5,2,0,13,2,0,0,0,0,0,157,13,11,156,9,5,2,1,172,0,1,0,2,,
454,Marco Verratti,MF,it Italy,28,1992,4.4,425,401,24,11,2,59,3,3,5,4,1,0,356,47,22,33,370,9,8,4,398,0,1,6,4,,
455,Jan Vertonghen,DF,be Belgium,33,1987,3.8,309,301,8,5,0,26,5,0,0,0,0,0,257,16,36,224,69,7,3,0,282,0,3,5,3,,
456,Jannik Vestergaard,DF,dk Denmark,28,1992,5.4,252,248,4,4,0,39,7,1,0,0,0,0,191,22,39,50,179,10,0,1,221,0,2,2,2,,
457,Domagoj Vida,DF,hr Croatia,31,1989,4.3,175,171,4,3,0,12,1,0,0,0,0,0,143,20,12,48,113,11,1,0,164,0,1,1,2,,
458,Nikola Vlašić,FWMF,hr Croatia,23,1997,2.3,56,56,0,0,1,14,0,2,0,0,0,0,49,1,6,17,37,0,0,0,48,0,1,1,0,,
459,Kevin Volland,FWDF,de Germany,28,1992,0.1,10,9,1,0,0,5,1,0,0,0,0,0,4,5,1,3,3,1,1,0,8,0,2,0,0,,
460,Stefan de Vrij,DF,nl Netherlands,28,1992,3.5,178,172,6,4,0,7,6,0,0,0,0,0,139,17,22,19,144,13,2,0,165,0,0,2,1,,
461,Šime Vrsaljko,DF,hr Croatia,29,1992,2,118,96,22,1,0,15,4,7,0,0,0,0,55,27,36,7,81,4,21,1,90,0,2,5,4,,
462,Matěj Vydra,FW,cz Czech Republic,28,1992,0.4,12,12,0,0,0,4,0,0,0,0,0,0,7,3,2,2,8,1,0,0,8,0,0,2,0,,
463,Kyle Walker,DF,eng England,30,1990,6.7,400,355,45,3,2,41,7,2,0,0,0,0,274,66,60,3,332,14,42,6,346,2,8,10,7,,
464,Danny Ward,GK,wls Wales,27,1993,4,125,66,59,21,0,1,2,0,0,0,0,0,40,7,78,3,94,0,0,17,78,1,6,2,0,,
465,Daniel Wass,DF,dk Denmark,31,1989,3,210,164,46,8,0,33,6,7,7,1,4,1,116,45,49,9,163,4,31,0,168,0,1,5,3,,
466,Wout Weghorst,FW,nl Netherlands,28,1992,2.1,53,53,0,0,0,16,0,1,0,0,0,0,31,12,10,5,36,5,0,0,36,0,0,3,1,,
467,Vladimír Weiss,FW,sk Slovakia,31,1989,0.4,22,22,0,0,0,1,0,1,0,0,0,0,19,1,2,0,22,0,0,0,18,1,0,1,0,,
468,Timo Werner,FW,de Germany,24,1996,1.2,34,30,4,0,0,5,0,3,0,0,0,0,24,7,3,5,24,1,3,1,26,0,1,1,1,,
469,Silvan Widmer,DF,ch Switzerland,27,1993,3.3,158,141,17,0,0,24,0,0,0,0,0,0,111,17,30,24,107,6,17,1,128,0,5,5,4,,
470,Georginio Wijnaldum,MF,nl Netherlands,30,1990,4,125,117,8,4,0,20,0,1,1,0,1,0,98,12,15,6,110,3,3,0,108,1,2,2,1,,
471,Owen Wijndal,DF,nl Netherlands,21,1999,0.6,26,22,4,0,0,3,1,0,0,0,0,0,17,4,5,20,0,1,4,0,20,0,1,0,1,,
472,Neco Williams,DF,wls Wales,19,2001,1.5,74,64,10,1,0,15,4,5,0,0,0,0,47,15,12,3,60,2,9,0,61,0,1,1,2,,
473,Harry Wilson,MFFW,wls Wales,23,1997,0.6,17,15,2,0,0,3,1,0,2,0,0,0,14,2,1,14,3,0,0,0,15,0,0,0,0,,
474,Jonas Wind,FW,dk Denmark,21,1999,0.9,18,16,2,0,0,8,2,1,0,0,0,0,13,1,4,1,16,0,0,0,17,0,0,0,0,,
475,Axel Witsel,MF,be Belgium,32,1989,3.4,209,203,6,6,0,21,8,2,0,0,0,0,182,15,12,9,193,3,0,1,200,0,1,1,2,,
476,Granit Xhaka,MF,ch Switzerland,28,1992,4.3,315,305,10,10,1,59,9,2,0,0,0,0,253,27,35,260,40,10,0,0,285,2,1,6,6,,
477,Roman Yaremchuk,FW,ua Ukraine,25,1995,4.8,115,101,14,0,0,36,1,2,0,0,0,0,97,14,4,16,92,1,0,2,97,0,3,6,2,,
478,Andriy Yarmolenko,FW,ua Ukraine,31,1989,4.9,162,160,2,1,1,42,3,10,0,0,0,0,118,27,17,104,47,2,1,3,118,0,2,5,12,,
479,Yusuf Yazıcı,MFFW,tr Turkey,24,1997,1.3,60,54,6,2,0,13,1,3,4,2,2,0,44,10,6,49,11,0,0,0,54,0,1,1,1,,
480,Burak Yılmaz,FW,tr Turkey,35,1985,3,60,49,11,0,0,15,0,3,0,0,0,0,36,16,8,4,43,5,0,4,44,0,1,2,1,,
481,Okay Yokuşlu,MF,tr Turkey,26,1994,1.5,70,67,3,3,0,11,5,0,0,0,0,0,61,5,4,7,60,3,0,0,63,0,0,3,0,,
482,Illia Zabarnyi,DF,ua Ukraine,18,2002,5.3,314,303,11,10,0,22,5,0,0,0,0,0,268,12,34,47,255,10,1,0,289,0,2,3,2,,
483,Denis Zakaria,MF,ch Switzerland,24,1996,1.4,28,27,1,1,0,4,0,1,0,0,0,0,22,2,4,2,25,1,0,0,22,1,0,0,0,,
484,Rifat Zhemaletdinov,MF,ru Russia,24,1996,0.7,19,19,0,0,0,4,0,0,0,0,0,0,17,2,0,2,17,0,0,0,15,0,2,0,0,,
485,Yuri Zhirkov,DF,ru Russia,37,1983,0.5,18,17,1,1,0,2,0,1,0,0,0,0,15,0,3,16,2,0,0,0,14,0,0,0,0,,
486,Piotr Zieliński,MFFW,pl Poland,26,1994,2.9,135,106,29,8,0,27,5,5,14,8,3,0,81,20,34,24,103,4,2,0,100,1,2,2,5,,
487,Oleksandr Zinchenko,MFDF,ua Ukraine,24,1996,5.3,292,268,24,3,0,54,5,9,4,1,2,0,223,38,31,248,16,6,16,1,242,2,7,11,7,,
488,Roman Zobnin,MFFW,ru Russia,26,1994,2.7,110,109,1,1,0,21,4,0,0,0,0,0,80,11,19,13,90,6,0,0,85,0,4,3,2,,
489,Steven Zuber,DFFW,ch Switzerland,29,1991,3.2,125,118,7,1,1,31,2,11,1,0,1,0,94,21,10,36,82,2,5,0,97,0,0,3,6,,
490,Oleksandr Zubkov,FW,ua Ukraine,24,1996,0.1,4,4,0,0,0,3,0,0,0,0,0,0,3,0,1,4,0,0,0,0,4,0,0,0,0,,
